siteid,name,address,city,zip,COUNTY,date_close,sample_date,phone,email,BY_SITEID,BY_ADDRESS,BY_NAME,date_open,street_address,state,zipcode,county_name,by_id,by_name,by_addr,match_found,flag_missing_date,fixed_date_open,bad_zipcode,_merge
104,st johns community center,7500 blessing ave,Austin,78752,,,2024,512-972-4942,Stjohnswic@Austintexas.Gov,1,0,0,1993-01-01,7500 Blessing Ave,tx,78752,travis,TRUE,FALSE,TRUE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
105,northwest,8701 research blvd ste a,Austin,78758,,,2024,512-972-4942,NorthwestWIC@austintexas.gov,1,0,0,1993-11-15,"8701 Research Blvd, Suite A",tx,78758,travis,TRUE,TRUE,FALSE,TRUE,FALSE,1993-11-15,FALSE,Matched (3)
107,montopolis neighborhood center,2901 montopolis dr ste 1300,Austin,78741,,,2024,512-972-4942,Montopoliswic@Austintexas.Gov,1,0,0,1993-01-01,"2901 Montopolis Dr, Suite 1300",tx,78741,travis,TRUE,TRUE,FALSE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
109,far south,405 w stassney ln,Austin,78745,,,2024,512-972-4942,FarSouthWIC@austintexas.gov,1,0,0,1993-01-01,405 W Stassney Lane,tx,78745,travis,TRUE,TRUE,TRUE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
112,dove springs,5811 palo blanco ln,Austin,78744,,,2024,512-972-4942,DovespringsWIC@austintexas.gov,1,0,0,1993-03-15,5811 Palo Blanco Lane,tx,78744,travis,TRUE,TRUE,FALSE,TRUE,FALSE,1993-03-15,FALSE,Matched (3)
114,manor,14008 shadowglen blvd ste 207,Manor,78653,,,2024,512-972-4942,ManorWIC@austintexas.gov,1,0,0,1993-01-01,"14008 Shadowglen Blvd, Ste 207",tx,78653,travis,TRUE,TRUE,FALSE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
115,pflugerville,15822 b foothill farms loop,Pflugerville,78660,,,2024,512-972-4942,PflugervilleWIC@austintexas.gov,1,0,0,1993-01-01,15822-B Foothill Farms Loop,tx,78660,williamson,TRUE,TRUE,FALSE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
121,del valle,3518 fm 973,Del Valle,78617,,,2024,512-972-4942,DelValleWIC@austintexas.gov,1,0,0,1993-01-01,3518 FM 973,tx,78617,travis,TRUE,TRUE,TRUE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
128,bastrop,605 old austin hwy,Bastrop,78602,,,2024,512-972-4942,BastropWIC@austintexas.gov,1,0,0,2009-02-02,605 Old Austin Hwy,tx,78602,bastrop,TRUE,TRUE,FALSE,TRUE,FALSE,2009-02-02,FALSE,Matched (3)
129,elgin,218 s main st,Elgin,78621,,,2024,512-972-4942,ElginWIC@austintexas.gov,1,0,0,2009-02-02,218 South Main St,tx,78621,bastrop,TRUE,TRUE,TRUE,TRUE,FALSE,1994-01-01,FALSE,Matched (3)
