siteid,name,f_name,street_address,f_addr,city,state,zipcode,county_name,phone,toll_free,fax,email,website,hours,live_chat_url,latitude,longitude,is_mobile
109,far south clinic,afrs,405 W Stassney Lane,045aenssy,austin,tx,78745,travis,512-972-4942,NA,512-442-4342,FarSouthWIC@austintexas.gov,https://www.austintexas.gov/WIC,Mon-Thu | 7:30-4:30 Lunch 12:00-12:30 && 2nd Wed | Closed && Fri | 7:30-1:30,https://texaswic.org/about-wic/live-chat-with-wic?la=001,30.20709,-97.77927,NO
112,dove springs clinic,deginoprssv,5811 Palo Blanco Lane,1158aabcllnoop,austin,tx,78744,travis,512-972-4942,NA,512-978-7621,DovespringsWIC@austintexas.gov,https://www.austintexas.gov/WIC,Mon-Thu | 7:30-4:30 Lunch 12:00-12:30 && 2nd Wed | Closed && Fri | 7:30-1:30,https://texaswic.org/about-wic/live-chat-with-wic?la=001,30.1889799,-97.7382069,NO
107,montopolis neighborhood center,bdeghhiilmnnooooooprst,"2901 Montopolis Dr, Suite 1300",00011239ilmnooopst,austin,tx,78741,travis,512-972-4942,NA,512-972-6237,Montopoliswic@Austintexas.Gov,https://www.austintexas.gov/WIC,Mon-Thu | 7:30-4:30 Lunch 12:00-12:30 && 2nd Wed | Closed && Fri | 7:30-1:30,https://texaswic.org/about-wic/live-chat-with-wic?la=001,30.21468,-97.71017,NO
132,roving mobile unit,ginorv,2800 Webberville Rd,0028bbeeeillrvw,austin,tx,78702,travis,512-972-4942,NA,NA,WICMobileUnit@austintexas.gov,https://www.austintexas.gov/page/wic-locations,Please refer to the website for all hours and site locations,NA,30.26562,-97.71003,YES
724,north dallas clinic,aadllns,8202 Spring Valley Rd # 100,0001228ginprs,dallas,tx,75240,dallas,214-670-7200,NA,214-670-6573,Askwic@Dallascityhall.Com,NA,Mon-Thu | 7:30-6:00 && Fri | 7:30-4:30 && Sat | 7:30-4:00,https://texaswic.org/about-wic/live-chat-with-wic?la=007,32.9396951,-96.7637408,NO
3506,carrollton wic clinic,acllnoorrt,3024 E. Hebron Pkwy,0234ehno,carrollton,tx,75010,dallas,972-446-1507,NA,972-446-1586,NA,NA,Mon/Tue/Wed/Thu  |  9:00-6:00  Lunch 12:00-1:00  &&  Fri  |  7:30-4:30  Lunch 12:00-1:00,NA,33.02542,-96.85436,NO
709,irving clinic,giinrv,1111 West Airport Freeway Suit 237,1111237aiioprrsttu,irving,tx,75062,dallas,214-670-7200,NA,972-257-8323,Askwic@Dallascityhall.Com,NA,Mon-Thu | 7:30-6:00 && Fri | 7:30-4:30 && Sat | 7:30-4:00,https://texaswic.org/about-wic/live-chat-with-wic?la=007,32.8374649,-96.9601899,NO
717,north west dallas clinic,aadllnsw,3207 W Northwest Hwy,0237nw,dallas,tx,75220,dallas,214-670-7200,NA,214-670-6253,Askwic@Dallascityhall.Com,NA,Mon-Fri | 7:30-4:30,https://texaswic.org/about-wic/live-chat-with-wic?la=007,32.85564,-96.86696,NO
9002,urban inter-tribal center - temporarily closed,aaabbcdeeiiilllmnnooprrrrsttuy,"Mobile Services Offered, 1283 Record Crossing Rd",1238bccdeeeeeeffiilmooorrrssv,dallas,tx,75235,dallas,214-941-1050,NA,--,NA,NA,Mon - Thu | 7:30-6:00 && Fri | 7:30-4:00,NA,32.81609,-96.86151,NO
1002,denison clinic,deinnos,205 N Houston,025hnoou,denison,tx,75020,grayson,903-465-2878,NA,903-465-2978,NA,NA,Mon | 8:00-6:00 Lunch 1:00-2:00 && Tue | 8:00-7:00 Lunch 1:00-2:00 && Wed/Thu | 8:00-5:00 Lunch 1:00-2:00 && First working day of the month | 5:00-7:00 && 3rd Thu | 2:00-7:00,NA,33.75714,-96.53556,NO
7102,collin county health care services,aacccceeeehhiilllnnoorrssttuvy,"900 East Park Blvd, Suite 165",001569,plano,tx,75074,collin,972-633-3350,NA,972-633-3355,mckinneywic@co.collin.tx.us,https://www.collincountytx.gov/Services/Health-Care-Services/wic-program,Mon/Wed | 8:00-5:00 && Tue/Thu | 8:00-5:30 && Fri | 8:00-1:00,NA,33.0304,-96.70285,NO
3502,lewisville clinic,eeiilllsvw,190 North Valley Parkway,019,lewisville,tx,75067,denton,972-221-1603,NA,972-420-1433,NA,NA,Mon/Tue/Wed/Thu  |  9:00-6:00  Lunch 12:00-1:00  &&  Fri  |  7:30-4:30  Lunch 12:00-1:00,NA,33.04458,-97.02129,NO
711,east garland wic clinic,aeglr,2851 Dairy Rd,1258adiry,garland,tx,75041,dallas,214-670-7200,NA,NA,Askwic@Dallascityhall.Com,NA,Mon-Thu | 7:30-6:00 && Fri | 7:30-4:30 && Sat | 7:30-4:00,https://texaswic.org/about-wic/live-chat-with-wic?la=007,32.882442,-96.622253,NO
13167,rockwall wic,ackllorw,"2305 Ridge Rd, Suite 103",0012335,rockwall,tx,75087,rockwall,972-771-9541,NA,NA,Wictx@Spcaa.Org,https://www.spcaawic.org/,Mon/Wed | 9:00-6:00  Lunch 1:00-2:00 && 1st Wed | Closed && Tue/Thu | 7:00-4:00 Lunch 1:00-2:00,https://texaswic.org/about-wic/live-chat-with-wic?la=130-131,32.9266949,-96.461148,NO
732,west garland,aglrw,"618 Clara Barton, Suite 102",011268aaabclnorrt,garland,tx,75042,dallas,214-670-7200,NA,972-272-5931,Askwic@Dallascityhall.Com,NA,Mon-Fri | 7:30-4:30,https://texaswic.org/about-wic/live-chat-with-wic?la=007,32.918222,-96.6614,NO
