siteid,name,f_name,address,f_addr,city,state,zip,COUNTY,date_open,date_close
723,lifespan program,aaefgilmnopprrs,5201 Harry Hines Blvd,0125aehhinrrsy,dallas,tx,75235,dallas,NA,1997-01-01T00:00:00Z
1704,kay school,achkloosy,1615 Herbert,1156beehrrt,houston,tx,77012,harris,NA,1997-05-31T00:00:00Z
2207,west  wic clinic,,104 Pine Street,014einp,west,tx,76691,mclennan,1996-06-17T00:00:00Z,1997-06-01T00:00:00Z
4115,el carmen,aceeln,18555 Leal Road,15558aell,san antonio,tx,78221,bexar,NA,1997-07-25T00:00:00Z
5805,angelina pediatrics,aaacdeegiiilnnprst,1605 West Frank,0156afknr,lufkin,tx,75904,angelina,1997-07-11T00:00:00Z,1997-10-31T00:00:00Z
4405,city of del rio comstock isd program,acccddefgiiiklmmoooooprrrsty,101 Sanderson St  PO Box 905,001159benoooprssx,comstock,tx,78837,val verde,1996-09-05T00:00:00Z,1998-01-31T00:00:00Z
716,frazier courts clinic,aefirrsz,4800 Spring Avenue,0048ginprs,dallas,tx,75210,dallas,NA,1998-02-01T00:00:00Z
2645,texas medical center-wic center,aacdeeilmstx,1115 SOUTH BRAESWOOD,1115adeoosw,houston,tx,77030,harris,NA,1998-03-16T00:00:00Z
5430,worth heights community center,chmmoortwy,3551 New York,1355eknorwy,fort worth,tx,76110,tarrant,NA,1998-04-01T00:00:00Z
9607,van horn clinic,ahnnorv,704 West Broadway  PO Box 38,03478boopx,van horn,tx,79855,culberson,1996-03-01T00:00:00Z,1998-04-01T00:00:00Z
8939,adelante academy,aaaacddeeelmnty,601 North Flores,016eors,san antonio,tx,78207,bexar,1994-11-10T00:00:00Z,1998-05-05T00:00:00Z
8958,gethsemane lutheran church,aacceeeeghhhhlmnnrrsttuu,610 Avalon,016aalnov,san antonio,tx,78213,bexar,1997-05-01T00:00:00Z,1998-05-14T00:00:00Z
3313,marks wic clinic,akmrs,8912 Marks Street,1289akmrs,el paso,tx,79915,el paso,1993-04-01T00:00:00Z,1998-05-15T00:00:00Z
8123,pep center  rosebud-lott high school,bceeghhhiloooopprssttu,Hwy 77 Travis  PO Box 638,36778abiooprstvx,rosebud,tx,76570,falls,NA,1998-05-29T00:00:00Z
8101,falls county wic,cnotuy,251 Live Oak PO Box 491,112459abeiklooopvx,marlin,tx,76661,falls,NA,1998-05-29T00:00:00Z
514,wesley day care,aacdeeelrswyy,414 North Buena Vista,144aabeinuv,robstown,tx,78380,nueces,1994-03-01T00:00:00Z,1998-06-01T00:00:00Z
518,walmart super center-five points,aaeefilmprrsstuvw,3820 Highway 77,023778,robstown,tx,78380,nueces,1994-05-01T00:00:00Z,1998-07-15T00:00:00Z
521,grannies,aeginnrs,IH-37,37hi,corpus christi,tx,78410,nueces,1997-03-20T00:00:00Z,1998-07-15T00:00:00Z
9435,midkiff community center clinic,cdffiikmmmoy,FM 2401,0124fm,midkiff,tx,79755,upton,1996-01-01T00:00:00Z,1998-08-01T00:00:00Z
1717,door to recovery,deooorrrty,2005 Jacqueline,0025aceeijlnqu,houston,tx,77055,harris,1997-01-13T00:00:00Z,1998-08-31T00:00:00Z
1701,san jose clinic - downtown,adejnnnooosstww,301 Hamilton Street,013ahilmnot,houston,tx,77002,harris,NA,1998-09-01T00:00:00Z
8957,chisolm trace apartments,accehilmorsst,10503 Huebner Road,00135beehnru,san antonio,tx,78240,bexar,1996-12-06T00:00:00Z,1998-09-01T00:00:00Z
9417,sanderson clinic,enorss,Terrell County Medical Bldg,accdeeilllmnortuy,sanderson,tx,79848,terrell,1996-01-01T00:00:00Z,1998-09-01T00:00:00Z
8911,av mirasol,aailmorsv,132 Torres,123eorrst,san antonio,tx,78237,bexar,1994-09-05T00:00:00Z,1998-10-01T00:00:00Z
8324,marathon neighborhood center clinic,aabdeghhhimnnoooorrt,West Highway 90,09,marathon,tx,79842,brewster,NA,1998-10-01T00:00:00Z
8326,valentine clinic,aeeilnntv,Valentine Community Building,aceeilmmnnotvy,valentine,tx,79854,jeff davis,NA,1998-10-01T00:00:00Z
3332,community based nutritional education,aaabccddeeiiilmmnnnooorstttuuy,1148 Airway Blvd,1148air,el paso,tx,79925,el paso,1997-10-01T00:00:00Z,1998-10-01T00:00:00Z
5909,barrio comp family health clinic  (la amistad),aaaaaabcdefhhiiilllmmmooprrty,1501 Tampico,0115acimopt,san antonio,tx,78207,bexar,1998-02-28T00:00:00Z,1998-10-24T00:00:00Z
8712,atlanta wic satellite clinic,aaaaeeilllnstttt,500 Wade Street,005adew,atlanta,tx,75551,cass,NA,1998-10-31T00:00:00Z
8707,linden wic clinic,deilnn,Courthouse Annex  PO Box 300,003behooopsux,linden,tx,75563,cass,NA,1998-10-31T00:00:00Z
8703,carthage wic clinic,aaceghrt,418 West Sabine  PO Box 398,134889abbeinoopsx,carthage,tx,75633,panola,NA,1998-10-31T00:00:00Z
8702,henderson wic clinic,deehnnors,1229 Long Star Street,1229aglnor,henderson,tx,75652,rusk,NA,1998-10-31T00:00:00Z
8704,jefferson wic clinic,eeffjnors,116 West Austin Suite 203,011236ainu,jefferson,tx,75657,marion,NA,1998-10-31T00:00:00Z
8706,marshall wic clinic,aahllmrs,4105 Victory Drive,0145iorvy,marshall,tx,75670,harrison,NA,1998-10-31T00:00:00Z
